,vacant_days,reserved_days,occupancy,revenue,rate_avg,native_rate_avg,native_revenue,rating_overall,rating_accuracy,rating_cleanliness,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_revpar,ttm_revpar_native,ttm_reserved_days,ttm_available_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_revpar,l90d_revpar_native,l90d_reserved_days,l90d_available_days
vacant_days,,-0.9959546179266464,-0.9977964994022924,,,,,,,,,,,,,,,,,,,,,,,,,,
reserved_days,-0.9959546179266464,,0.9990695312185354,,,,,,,,,,,,,,,,,,,,,,,,,,
occupancy,-0.9977964994022924,0.9990695312185354,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenue,,,,,,,,,,,,0.8150943232258954,,,,,0.8171602751986168,,,,,,,,,,,,
rate_avg,,,,,,,,,,,,,,0.9823346467508121,,,,,,,,,0.9557099595733425,,,,,,
native_rate_avg,,,,,,,,,,,,,,,0.9913152924133003,,,,,,,,,0.9773095528259512,,,,,
native_revenue,,,,,,,,,,,,,0.845497627265358,,,,,0.8455709932087929,,,,,,,,,,,
rating_overall,,,,,,,,,0.8573012243843892,0.8179325384983396,0.8349596426379139,,,,,,,,,,,,,,,,,,
rating_accuracy,,,,,,,,0.8573012243843892,,,,,,,,,,,,,,,,,,,,,
rating_cleanliness,,,,,,,,0.8179325384983396,,,,,,,,,,,,,,,,,,,,,
rating_value,,,,,,,,0.8349596426379139,,,,,,,,,,,,,,,,,,,,,
ttm_revenue,,,,0.8150943232258954,,,,,,,,,,,,,0.9974998259709897,,,,0.8963056243645162,,,,,0.8943926661687303,,,
ttm_revenue_native,,,,,,,0.845497627265358,,,,,,,,,,,0.9999151894957353,,,,0.8971885117428111,,,,,0.8970593809752059,,
ttm_avg_rate,,,,,0.9823346467508121,,,,,,,,,,,,,,,,,,0.9729774388043891,,,,,,
ttm_avg_rate_native,,,,,,0.9913152924133003,,,,,,,,,,,,,,,,,,0.9859627983759046,,,,,
ttm_occupancy,,,,,,,,,,,,,,,,,,,0.9999992170830979,-0.9999956436077132,,,,,0.8274391801121918,,,0.8274489080398771,-0.8274489080398822
ttm_revpar,,,,0.8171602751986168,,,,,,,,0.9974998259709897,,,,,,,,,0.888000935299546,,,,,0.890853770453667,,,
ttm_revpar_native,,,,,,,0.8455709932087929,,,,,,0.9999151894957353,,,,,,,,,0.8967699230128408,,,,,0.8968002983228052,,
ttm_reserved_days,,,,,,,,,,,,,,,,0.9999992170830979,,,,-0.9999958535656599,,,,,0.8274286882772751,,,0.8274384038599176,-0.8274384038599181
ttm_available_days,,,,,,,,,,,,,,,,-0.9999956436077132,,,-0.9999958535656599,,,,,,-0.8274551861749726,,,-0.8274649118872122,0.8274649118872162
l90d_revenue,,,,,,,,,,,,0.8963056243645162,,,,,0.888000935299546,,,,,,,,,0.9973698959609755,,,
l90d_revenue_native,,,,,,,,,,,,,0.8971885117428111,,,,,0.8967699230128408,,,,,,,,,0.9999113897661102,,
l90d_avg_rate,,,,,0.9557099595733425,,,,,,,,,0.9729774388043891,,,,,,,,,,,,,,,
l90d_avg_rate_native,,,,,,0.9773095528259512,,,,,,,,,0.9859627983759046,,,,,,,,,,,,,,
l90d_occupancy,,,,,,,,,,,,,,,,0.8274391801121918,,,0.8274286882772751,-0.8274551861749726,,,,,,,,0.9999995106369529,-0.9999995106369555
l90d_revpar,,,,,,,,,,,,0.8943926661687303,,,,,0.890853770453667,,,,0.9973698959609755,,,,,,,,
l90d_revpar_native,,,,,,,,,,,,,0.8970593809752059,,,,,0.8968002983228052,,,,0.9999113897661102,,,,,,,
l90d_reserved_days,,,,,,,,,,,,,,,,0.8274489080398771,,,0.8274384038599176,-0.8274649118872122,,,,,0.9999995106369529,,,,-1.0
l90d_available_days,,,,,,,,,,,,,,,,-0.8274489080398822,,,-0.8274384038599181,0.8274649118872162,,,,,-0.9999995106369555,,,-1.0,
